Material,Carbon,Water,Waste,EIS,Risk_Level,image,actual_class
Denim,2.1,10000,0.5,0.3680392156862745,High,1353_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1337_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1335_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1339_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1081_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1402_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1332_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1249_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1314_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1074_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1316_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,515_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1320_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1325_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1303_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1289_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1063_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1120_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,433_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1342_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,300_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1345_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1310_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1119_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1328_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,420_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1287_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1052_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1330_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1056_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1315_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1333_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1311_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,152_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1343_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1306_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1319_im_2.png,Denim
Denim,2.1,10000,0.5,0.3680392156862745,High,1276_im_2.png,Denim
