Material,Carbon,Water,Waste,EIS,Risk_Level,image,predicted_class,final_output,explanation
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1207_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,461_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1908_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1805_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1449_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1214_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1905_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1203_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,538_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,140_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1215_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1441_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1773_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1445_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1910_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1779_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
Nylon,6.4,3000,0.8,0.3545098039215686,Medium,1901_im_2.png,Cotton,Material: Nylon | Risk: Medium | Reason: Moderate impact due to high waste production,Moderate impact due to high waste production
